ProductID,ProductName,Category,SubCategory,Price
1,Harness Real-Time Convergence,Furniture,Tables,194.15
2,Incubate E-Business Networks,Office Supplies,Binders,66.12
3,Mesh Wireless E-Tailers,Office Supplies,Pens,427.55
4,E-Enable Vertical Paradigms,Office Supplies,Paper,201.17
5,Envisioneer Revolutionary Applications,Furniture,Bookcases,164.14
6,Embrace Ubiquitous Partnerships,Furniture,Tables,428.94
7,Engineer Out-Of-The-Box Synergies,Office Supplies,Paper,338.86
8,Enable World-Class Technologies,Office Supplies,Pens,313.62
9,Engage Collaborative Networks,Furniture,Chairs,479.25
10,Facilitate Granular Partnerships,Furniture,Chairs,316.43
11,Empower Bricks-And-Clicks Vortals,Technology,Copiers,330.47
12,Disintermediate Bleeding-Edge Convergence,Technology,Phones,484.92
13,Re-Intermediate Killer Channels,Office Supplies,Paper,302.93
14,Revolutionize Cutting-Edge Functionalities,Technology,Copiers,11.92
15,Architect Front-End Technologies,Technology,Phones,122.25
16,Transition Best-Of-Breed Convergence,Technology,Copiers,25.44
17,Transform Clicks-And-Mortar Niches,Office Supplies,Binders,20.02
18,Transition Ubiquitous Niches,Furniture,Tables,156.67
19,Iterate B2C Bandwidth,Office Supplies,Pens,326.41
20,Morph End-To-End Niches,Furniture,Tables,466.08
21,Engineer Compelling Functionalities,Technology,Accessories,284.19
22,Revolutionize Cross-Media Channels,Furniture,Tables,48.86
23,Engineer Real-Time Content,Technology,Phones,97.36
24,Monetize Proactive Niches,Office Supplies,Paper,389.26
25,Monetize Leading-Edge Methodologies,Technology,Accessories,424.21
26,Embrace Transparent Deliverables,Furniture,Tables,303.33
27,Transform One-To-One Functionalities,Furniture,Bookcases,180.23
28,Revolutionize Viral Vortals,Office Supplies,Pens,419.38
29,Reinvent E-Business Metrics,Technology,Copiers,430.6
30,Generate Killer Info-Mediaries,Technology,Accessories,118.13
31,Grow Synergistic Web-Readiness,Furniture,Bookcases,113.45
32,Envisioneer Visionary Web-Readiness,Technology,Phones,438.79
33,Maximize Innovative Interfaces,Technology,Accessories,363.37
34,Mesh B2B Vortals,Furniture,Bookcases,493.55
35,Architect Killer Experiences,Office Supplies,Binders,437.42
36,Facilitate Visionary Web Services,Office Supplies,Pens,217.58
37,Scale Transparent E-Business,Technology,Accessories,98.87
38,Benchmark Killer Content,Furniture,Bookcases,447.45
39,Target End-To-End Communities,Technology,Accessories,451.05
40,Transform Integrated Users,Furniture,Bookcases,125.86
41,Optimize Enterprise Experiences,Technology,Accessories,414.16
42,Re-Contextualize Clicks-And-Mortar Mindshare,Furniture,Bookcases,461.67
43,Empower End-To-End Models,Office Supplies,Paper,415.17
44,Iterate Enterprise E-Tailers,Office Supplies,Pens,98.01
45,Exploit Granular Communities,Furniture,Chairs,150.54
46,Re-Intermediate Front-End E-Markets,Furniture,Chairs,161.57
47,Strategize One-To-One Experiences,Technology,Accessories,89.37
48,Unleash Robust Solutions,Furniture,Bookcases,417.69
49,Aggregate Next-Generation Content,Office Supplies,Pens,276.76
50,Strategize Compelling Communities,Furniture,Bookcases,101.11
51,Strategize Intuitive Solutions,Office Supplies,Binders,113.47
52,Syndicate Proactive Relationships,Technology,Copiers,167.6
53,Mesh Wireless Channels,Technology,Accessories,337.27
54,Utilize Dot-Com Supply-Chains,Technology,Accessories,257.37
55,Re-Contextualize Virtual Platforms,Office Supplies,Pens,497.92
56,Empower Rich Mindshare,Office Supplies,Paper,320.36
57,Iterate Front-End Channels,Furniture,Bookcases,386.45
58,Strategize Compelling Experiences,Office Supplies,Paper,484
59,Matrix Next-Generation Portals,Technology,Copiers,59.02
60,Engineer Innovative Interfaces,Office Supplies,Binders,128.02
61,Deliver Bleeding-Edge Mindshare,Furniture,Bookcases,298.56
62,Innovate One-To-One Models,Furniture,Chairs,356.8
63,Integrate Extensible Methodologies,Office Supplies,Binders,67.56
64,Enhance Cross-Media Users,Office Supplies,Paper,244.93
65,Implement World-Class Technologies,Furniture,Chairs,115.38
66,Strategize User-Centric Supply-Chains,Furniture,Bookcases,125.61
67,Redefine Ubiquitous Channels,Office Supplies,Binders,260.43
68,Utilize Dot-Com Models,Office Supplies,Binders,346.74
69,Redefine Robust Roi,Technology,Accessories,15.94
70,Architect Bricks-And-Clicks Mindshare,Furniture,Chairs,266.52
71,Seize End-To-End Web Services,Office Supplies,Binders,136.74
72,Drive Killer Communities,Technology,Copiers,351.27
73,Enable Cross-Platform Deliverables,Office Supplies,Binders,421.91
74,Whiteboard Ubiquitous Applications,Technology,Copiers,406.57
75,Incubate Sticky Networks,Office Supplies,Binders,316.01
76,Facilitate Visionary Networks,Technology,Phones,198.29
77,Incentivize Collaborative Platforms,Furniture,Chairs,437.28
78,Matrix Bricks-And-Clicks Initiatives,Technology,Copiers,102.3
79,Leverage Open-Source Metrics,Furniture,Bookcases,22.48
80,Harness Dynamic Vortals,Technology,Accessories,407.04
81,Exploit Back-End Synergies,Furniture,Chairs,150.88
82,Architect Dynamic Paradigms,Furniture,Chairs,392.2
83,Implement Viral Metrics,Office Supplies,Binders,488.7
84,Seize Cutting-Edge Action-Items,Furniture,Tables,69.76
85,Deploy Web-Enabled Content,Furniture,Bookcases,199.86
86,Incentivize Revolutionary Initiatives,Office Supplies,Paper,18.51
87,Monetize Wireless Technologies,Office Supplies,Pens,427.43
88,Evolve Turn-Key E-Commerce,Furniture,Bookcases,258.9
89,Revolutionize Scalable Technologies,Technology,Copiers,163.74
90,Transition World-Class Architectures,Furniture,Bookcases,186.96
91,Utilize Extensible Bandwidth,Office Supplies,Binders,131.5
92,Morph World-Class Networks,Office Supplies,Pens,47.22
93,Orchestrate B2B Platforms,Technology,Phones,156.14
94,Re-Intermediate Dot-Com Experiences,Furniture,Tables,487.82
95,Syndicate Interactive Relationships,Office Supplies,Paper,243.37
96,Harness Intuitive Technologies,Technology,Phones,30.99
97,Seize World-Class Functionalities,Technology,Accessories,132.28
98,Leverage B2B Portals,Technology,Accessories,232.63
99,Reinvent Plug-And-Play Vortals,Furniture,Chairs,228.24
100,Drive Cross-Media Platforms,Office Supplies,Paper,312.9